Poet,Poem,Title,Nationalty,Century,Gender
Emily Dickinson,"Safe in their Alabaster Chambers -
Untouched by Morning - 
and untouched by noon -
Sleep the meek members of the Resurrection, 
Rafter of Satin and Roof of Stone - 
Grand go the Years, 
In the Crescent above them -
Worlds scoop their Arcs - 
and Firmaments - row -
Diadems - drop -
And Doges surrender -
Soundless as Dots, 
On a Disk of Snow.",Safe in their Alabaster Chambers (124),American,19th-century,Female
Emily Dickinson,"Surgeons must be very careful
When they take the knife!
Underneath their fine incisions
Stirs the Culprit - Life!",Surgeons must be very careful (156),American,19th-century,Female
Rae Armantrout,"1
“must represent the governess   
for, of course, the creature itself   
could not inspire such terror.”
staring at me fixedly, no   
trace of recognition.
“when the window opened of its own accord.   
In the big walnut tree
were six or seven wolves ...
strained attention. They were white.”   
(The fear of cloudy skies.)
like strangers! After five years
Misgiving. Misdoubt.2
(The fear that one is dreaming.)
The moon was shining, suddenly   
everything around me appeared   
(The fear of)
unfamiliar.
Wild vista
inside or near the home.
(Dread of bearing a monster.)
If I failed to overlook the torn cushions,
three teapots side by side,   
strewn towels, socks, papers—
both foreign and stale.   3
when I saw the frame was rotten,   
crumbling away from the glass,
in spots, in other places still attached   
with huge globs of putty.
The doctor forced me to repeat the word.   
Chimera. Cold feet.
scared and unreal looking at buildings.   
The thin Victorians with scaly paint,   
their flimsy backporches linked
by skeletal stairways.4
After five years
(The fear that you are not at home.)
I was sitting in the alcove where I never sit   
when I noticed a single eye,
crudely drawn in pencil,   
in a corner near the floor.
The paint was blistering—
beneath it I saw white.5
Sparrows settle on the sagging wires.   
(Fear of sights not turned to words.)
Horrific. Grisly.   
“Rumplestiltskin!”
Not my expression.
Not my net of veins   
beneath thin skin.
(A morbid dread of throbbing.)   
Of its own accord",Xenophobia,American,21st-century,Female
Rae Armantrout,"There were distinctive
dips and shivers
in the various foliage,
syncopated,
almost cadenced in the way
that once made him invent
“understanding.”
                         *
Now the boss could say
“parameters”
and mean something
like “I’ll pinch.”
By repeating the gesture exactly
the woman awakened
an excited suspicion
in the infant.
When he awakened
she was just returning from
one of her little trips.
It’s common to confuse
the distance
with flirtation:
that expectant solemnity
which seems to invite a kiss.
                         *
He stroked her carapace
with his claw.
They had developed a code
in which each word appeared to refer
to some abdicated function.
Thus, in a department store,
Petite Impressions might neighbor
Town Square.
But he exaggerated it
by mincing
words like “micturition,”
setting scenes
in which the dainty lover
would pretend to leave.
                         *
Was it sadness or fear?
He still wasn’t back.
The act of identification,
she recognized,
was always a pleasure,
but this lasting difference
between sense and recognition
made her unhappy
or afraid.
Once she was rewarded
by the beams
of headlights flitting
in play.",Language of Love,American,21st-century,Female
Rae Armantrout,"The doll told me   
to exist.
It said, “Hypnotize yourself.”
It said time would be   
transfixed.
                     *
Now the optimist
sees an oak   
shiver
and a girl whiz by   
on a bicycle
with a sense of pleasurable   
suspense.
She budgets herself   
with leafy
prestidigitation.
I too
am a segmentalist.
                     *
But I’ve dropped   
more than an armful
of groceries or books
downstairs
into a train station.
An acquaintance says   
she colors her hair
so people will help her   
when this happens.
To refute her argument,   
I must wake up
and remember my hair’s   
already dyed.
                     *
As a mentalist,   
I must suffer
lapses
then repeat myself   
in a blind trial.
I must write   
punchlines only I   
can hear
and only after   
I’ve passed on",Veil,American,21st-century,Female
William Shakespeare,"(from The Tempest)



Full fathom five thy father lies;",Song: “Full fathom five thy father lies” ,English,16th-century,Male
William Shakespeare,"(from Cymbeline)



Hark, hark! the lark at heaven's gate sings, And Phoebus 'gins arise, His steeds to water at those springs On chaliced flowers that lies; And winking Mary-buds begin To ope their golden eyes: With every thing that pretty is, My lady sweet, arise: Arise, arise.","Song: “Hark, hark! the lark at heaven's gate sings”",English,16th-century,Male
William Shakespeare,"(from Twelfth Night)



O Mistress mine where are you roaming? O stay and hear, your true love's coming,       That can sing both high and low. Trip no further pretty sweeting. Journeys end in lovers' meeting,       Every wise man's son doth know. What is love, 'tis not hereafter, Present mirth, hath present laughter:       What's to come, is still unsure. In delay there lies no plenty, Then come kiss me sweet and twenty:       Youth's a stuff will not endure.",Song: “O Mistress mine where are you roaming?”,English,16th-century,Male
William Shakespeare,"(from Henry VIII)



Orpheus with his lute made trees, And the mountain tops that freeze, Bow themselves when he did sing:To his music plants and flowers Ever sprung; as sun and showers There had made a lasting spring. Every thing that heard him play, Even the billows of the sea, Hung their heads, and then lay by. In sweet music is such art, Killing care and grief of heart Fall asleep, or hearing, die.",Song: “Orpheus with his lute made trees”,English,16th-century,Male
William Shakespeare,"(from Measure for Measure)



Take, oh take those lips away,       That so sweetly were forsworn, And those eyes: the breake of day,       Lights that do mislead the Morn; But my kisses bring again, bring again, Seals of love, but sealed in vain, sealed in vain.","Song: “Take, oh take those lips away”",English,16th-century,Male
William Shakespeare,"(from As You Like It)



Under the greenwood treeWho loves to lie with me,And turn his merry noteUnto the sweet bird's throat,Come hither, come hither, come hither:            Here shall he see            No enemyBut winter and rough weather.",Song: “Under the greenwood tree”,English,16th-century,Male
Yusef Komunyakaa,"Her red dress & hat
   tease the sky’s level-
headed blue. Outside
a country depot,
   she could be a harlot
or saint on Sunday
morning. We know
   Hopper could slant
light till it falls
on our faces. She waits
   for a tall blues singer
whose twelve-string is
hours out of hock,
   for a pullman porter
with a pigskin wallet
bulging with greenbacks,
   who stepped out of Porgy
at intermission. This is
paradise made of pigment
   & tissue, where apples
ripen into rage & lust.
In a quick glance,
   beyond skincolor,
she’s his muse, his wife—
the same curves
   to her stance, the same
breasts beneath summer cloth.",South Carolina Morning,American,20th-century,Male
Yusef Komunyakaa,"The sun slides down behind brick dust,
today’s angle of life. Everything
melts, even when backbones
are I-beams braced for impact.
Sequential sledgehammers fall, stone
shaped into dry air
white soundsystem of loose metal
under every footstep. Wrecking crews,
men unable to catch sparrows without breaking
wings into splinters. Blues-horn
mercy. Bloodlines. Nothing
but the white odor of absence.
The big iron ball
swings, keeping time
to pigeons cooing in eaves
as black feathers
float on to blueprint
parking lots.",Urban Renewal,American,20th-century,Male
Yusef Komunyakaa,"Beauty, I’ve seen you
pressed hard against the windowpane.
But the ugliness was unsolved
in the heart & mouth.
I’ve seen the quick-draw artist
crouch among the chrysanthemums.
Do I need to say more?
Everything isn’t ha-ha
in this valley. The striptease
on stage at the Blue Movie
is your sweet little Sara Lee.
An argument of eyes
cut through the metaphor,
& I hear someone crying
among crystal trees & confetti.
The sack of bones in the magnolia,
What’s more true than that?
Before you can see
her long pretty legs,
look into her unlit eyes.
A song of B-flat breath
staggers on death row. Real
men, voices that limp
behind the one-way glass wall.
I’ve seen the legless beggar
chopped down to his four wheels.",Poetics,American,20th-century,Male
Yusef Komunyakaa,"In the day’s mirror
you see a tall black man.   
Fingers of gold cattail
tremble, then you witness
the rope dangling from
a limb of white oak.
It’s come to this.
You yell his direction,
the wind taking   
your voice away.
You holler his mama’s name   
& he glances up at the red sky.   
You can almost   
touch what he’s thinking,   
reaching for his hand
across the river.
The noose pendulous
over his head,   
you can feel him   
grow inside you,   
straining to hoist himself,   
climbing a ladder   
of air, your feet   
in his shoes.",Reflections,American,20th-century,Male
Yusef Komunyakaa,"First you must have
unbelievable faith in water,
in women dancing like hands playing harps
for straw to grow stalks of fire.
You must understand the year
that begins with your hands tied
behind your back,
worship of dark totems
weighed down with night birds that shift their weight
& leave holes in the sky. You must know
what’s behind the shadow of a treadmill—
its window the moon’s reflection
& silent season reaching
into red sunlight hills.
You must know the hard science
of building walls that sway with summer storms.
Locking arms to a frame of air, frame of oak
rooted to ancient ground
where the door’s constructed last,
just wide enough for two lovers
to enter on hands & knees.
You must dance
the weaverbird’s song
for mending water & light
with straw, earth, mind, bright loom of grain
untortured by bushels of thorns.",Instructions for Building Straw Huts,American,20th-century,Male
Yusef Komunyakaa,"Using the gun mounts
for monkey bars,
children skin the cat,
pulling themselves through,
suspended in doorways
of abandoned helicopters
in graveyards. With arms
spread-eagled they imitate
vultures landing in fields.
Their play is silent
as distant rain,
the volume turned down
on the 6 o’clock news,
except for the boy
with American eyes
who keeps singing
rat-a-tat-tat, hugging
a broken machine gun.",Toys in a Field,American,20th-century,Male
Yusef Komunyakaa,"Forgive me, soldier.
Forgive my right hand
for pointing you
to the flawless
tree line now
outlined in my brain.
There was so much
bloodsky at daybreak
in Pleiku, but I won’t say
those infernal guns
blinded me on that hill.
Mistakes piled up men like clouds
pushed to the dark side.
Sometimes I try to retrace
them, running
fingers down the map
telling less than a woman’s body—
we followed the grid coordinates
in some battalion commander’s mind.
If I could make my mouth
unsay those orders,
I’d holler: Don’t
move a muscle. Stay put,
keep your fucking head
down, soldier.
Ambush. Gutsmoke.
Last night while making love
I cried out, Hit the dirt!
I’ve tried to swallow my tongue.
You were a greenhorn, so fearless,
even foolish, & when I said go,
Henry, you went dancing on a red string
of bullets from that tree line
as it moved from a low cloud.",Please,American,20th-century,Male
Yusef Komunyakaa,"Drunken laughter escapes
Behind the fence woven
With honeysuckle, up to where   
I stand. Daddy’s running-buddy,   
Carson, is beside him. In the time   
It takes to turn & watch a woman   
Tiptoe & pull a sheer blouse off   
The clothesline, to see her sun-lit   
Dress ride up peasant legs
Like the last image of mercy, three   
Are drinking from the Mason jar.
That’s the oak we planted
The day before I left town,   
As if father & son
Needed staking down to earth.   
If anything could now plumb   
Distance, that tree comes close,   
Recounting lost friends
As they turn into mist.
The woman stands in a kitchen   
Folding a man’s trousers—
Her chin tucked to hold
The cuffs straight.
I’m lonely as those storytellers   
In my father’s backyard
I shall join soon. Alone
As they are, tilting back heads   
To let the burning ease down.   
The names of women melt
In their mouths like hot mints,
As if we didn’t know Old Man Pagget’s   
Stoopdown is doctored with   
Slivers of Red Devil Lye.",Moonshine,American,20th-century,Male
William Butler Yeats,"Now all the truth is out,
Be secret and take defeat
From any brazen throat,
For how can you compete,
Being honor bred, with one
Who were it proved he lies
Were neither shamed in his own
Nor in his neighbors' eyes;
Bred to a harder thing
Than Triumph, turn away
And like a laughing string
Whereon mad fingers play
Amid a place of stone,
Be secret and exult,
Because of all things known
That is most difficult.",To a Friend Whose Work Has Come to Nothing,Irish,20th-century,Male
William Butler Yeats,"Now as at all times I can see in the mind's eye,
In their stiff, painted clothes, the pale unsatisfied ones
Appear and disappear in the blue depths of the sky
With all their ancient faces like rain-beaten stones,
And all their helms of silver hovering side by side,
And all their eyes still fixed, hoping to find once more,
Being by Calvary's turbulence unsatisfied,
The uncontrollable mystery on the bestial floor.",The Magi,Irish,20th-century,Male
John Ashbery,"Alone with our madness and favorite flower
We see that there really is nothing left to write about.
Or rather, it is necessary to write about the same old things
In the same way, repeating the same things over and over
For love to continue and be gradually different.
Beehives and ants have to be re-examined eternally
And the color of the day put in
Hundreds of times and varied from summer to winter
For it to get slowed down to the pace of an authentic
Saraband and huddle there, alive and resting.
Only then can the chronic inattention
Of our lives drape itself around us, conciliatory
And with one eye on those long tan plush shadows
That speak so deeply into our unprepared knowledge
Of ourselves, the talking engines of our day.",Late Echo,American,20th-century,Male
Kay Ryan,Tenderness and rot   share a border.   And rot is an   aggressive neighbor   whose iridescence   keeps creeping over.   No lessons   can be drawn   from this however.   One is not   two countries.   One is not meat   corrupting.   It is important   to stay sweet   and loving.,Tenderness and Rot,American,20th-century,Female
Yusef Komunyakaa,"For Carol Rigolot



  
        When deeds splay before us 
precious as gold & unused chances
stripped from the whine-bone,
we know the moment kindheartedness
walks in. Each praise be
echoes us back as the years uncount
themselves, eating salt. Though blood
first shaped us on the climbing wheel,
the human mind lit by the savanna’s
ice star & thistle rose,
your knowing gaze enters a room
& opens the day,
saying we were made for fun.
Even the bedazzled brute knows
when sunlight falls through leaves
across honed knives on the table.
If we can see it push shadows
aside, growing closer, are we less
broken? A barometer, temperature
gauge, a ruler in minus fractions
& pedigrees, a thingmajig,
a probe with an all-seeing eye,
what do we need to measure
kindness, every unheld breath,
every unkind leapyear?
Sometimes a sober voice is enough
to calm the waters & drive away
the false witnesses, saying, Look,
here are the broken treaties Beauty
brought to us earthbound sentinels.",Kindness,American,20th-century,Male
Samuel Menashe,Ghost I house  In this old flat—  Your outpost—  My aftermath,Here,American,20th-century,Male
Samuel Menashe,"Sheets entangle him   Naked on his bed   Like a toppled mast   Slack sails bedeck   At sea, no ballast   For that even keel   He cannot keep— No steering wheel   As he falls asleep",Heat Wave,American,20th-century,Male
Samuel Menashe,"The stars are   Although I do not sing   About them—   The sky and the trees   Are indifferent   To whom they please   The rose is unmoved   By my nose   And the garland in your hair   Although your eyes be lakes, dies   Why sigh for a star   Better bay at the moon   Better bay at the moon . . .   Oh moon, moon, moon",The Stars Are,American,20th-century,Male
Samuel Menashe,My father drummed darkness  Through the underbrush  Until lightning struck  I take after him  Clouds crowd the sky  Around me as I run  Downhill on a high—  I am my mother's son  Born long ago  In the storm's eye,Descent,American,20th-century,Male
Samuel Menashe,Of your fate  Fast asleep  On the bed you made  Dream away  Wake up late,"Captain, Captive",American,20th-century,Male
Samuel Menashe,Taut with longing  You must become  The god you sought—  The only one,Apotheosis,American,20th-century,Male
Rupi Kaur,"we’ve been arguing more than we ought to. about things 
 neither of us 
 remember or care about cause that’s how 
 we avoid the bigger questions. 
 instead of asking why we 
 don’t say 
 i love you 
 to one another as often as we 
 used to. 
 we fight about things like: who was supposed to get up 
 and turn the 
 lights off first. or who was supposed to pop 
 the frozen pizza in the oven 
 after work. taking hits at the 
 most vulnerable parts of one another. we’re 
 like fingers on 
 thorns honey. we know exactly where it hurts. 
 and everything is on the table tonight. like that one time 
 you whispered a 
 name i’m pretty sure wasn’t mine in your 
 sleep. or last week when you said 
 you were working late. 
 so i called work but they said you’d already left a 
 couple 
 hours ago. where were you for those couple hours. 
 i know. i know. your excuses make all the sense in the 
 world. and i get a 
 little carried away for no good reason 
 and eventually begin crying. but what 
 else do you expect 
 baby. i love you so much. i’m sorry i thought you were 
 lying. 
 that’s when you hold your head with your hands in 
 frustration. half begging 
 me to stop. half tired and sick of 
 it. the toxin in our mouths has burnt holes 
 in our cheeks. 
 we look less alive than we used to. less color in our faces. 
 but 
 don’t kid yourself. no matter how bad it gets we both 
 know you still wanna 
 nail me to the ground. 
 especially when i’m screaming so loud our fighting wakes 
 the neighbors. 
 and they come running to the door to save 
 us. baby don’t open it. 
 instead. lie me down. lay me open like a map. and with 
 your finger trace the 
 places you still want to **** out of 
 me. kiss me like i am the center point of 
 gravity and you 
 are falling into me like my soul is the focal point of yours. 
 and when your mouth is kissing not my mouth 
 but other places. my legs 
 will split apart out of habit. and 
 that’s when. i pull you in. welcome you. 
 home. 
 when the entire street is looking out their windows 
 wondering what all the 
 commotion is. and the fire trucks 
 come rolling in to save us but they can’t 
 distinguish 
 whether these flames began with our anger or our passion. 
 i will",,Canadian,21st-century,Female
Rupi Kaur,"i will tell you about selfish people. even when they know 
 they will hurt you 
 they walk into your life to taste you 
 because you are the type of being they 
 don’t want to miss 
 out on. you are too much shine to not be felt. so when 
 they 
 have gotten a good look at everything you have to offer. 
 when they 
 have taken your skin your hair your secrets with 
 them. when they realize 
 how real this is. how much of a 
 storm you are and it hits them. 
 that is when the cowardice sets in. that is when the person 
 you thought they 
 were is replaced by the sad reality of 
 what they are. that is when they lose 
 every fighting bone in 
 their body and leave after saying 
 you will find better 
 than 
 me. 
 you will stand there naked with half of them still hidden 
 somewhere inside 
 you and sob. asking them why they did 
 it. why they forced you to love them 
 when they had no 
 intention of loving you back and they’ll say something 
 along the lines of 
 i just had to try. i had to give it a chance. 
 it was you after 
 all. 
 but that isn’t romantic. it isn’t sweet. the idea that they 
 were so engulfed by 
 your existence they had to risk 
 breaking it for the sake of knowing they 
 weren’t the one 
 missing out. your existence meant that little next to their 
 curiosity of you. 
 that is the thing about selfish people. they 
 gamble entire beings. entire souls 
 to please their 
 own. one second they are holding you like the 
 world in their 
 lap and the next they have 
 belittled you to a mere picture. a moment. 
 something of the past. one second. they swallow 
 you up and whisper they 
 want to spend the rest 
 of their life with you. but the moment they sense 
 fear. 
 they are already halfway out the door. 
 without having the nerve to let you 
 go with 
 grace. as if the human heart means that little to 
 them. 
 and after all this. after all of the taking. the 
 nerve. isn’t it sad and funny how 
 people have 
 more guts these days to undress you with their 
 fingers than 
 they do to pick up the phone and 
 call. apologize. for the loss. and this is 
 how you 
 lose her.",,Canadian,21st-century,Female
Rupi Kaur,"to keep the coldness out 
 like two brackets they faced one another 
 to hold the dearest parts of them—their children—close 
 they turned a suitcase full of clothes into a life 
 and regular paychecks 
 to make sure the children of immigrants 
 wouldn’ t hate them for being the children of immigrants 
 they worked too hard 
 you can tell by their hands 
 their eyes are begging for sleep 
 but our mouths were begging to be fed 
 and that is the most artistic thing i have ever seen 
 it is poetry to these ears 
 that have never heard what passion sounds like 
 and my mouth is full of likes and ums when 
 i look at their masterpiece 
 cause there are no words in the english language 
 that can articulate that kind of beauty 
 i can’ t compact their existence into twenty-six letters and call it 
 a description 
 i tried once 
 but the adjectives needed to describe them 
 don’ t even exist 
 so instead i ended up with pages and pages 
 full of words followed by commas and 
 more words and more commas 
 only to realize there are some things 
 in the world so infinite 
 they could never use a full stop 
 so how dare you mock your mother 
 when she opens her mouth and 
 broken english spills out 
 don’ t be ashamed of the fact that 
 she split through countries to be here",,Canadian,21st-century,Female
Rupi Kaur,"when i go home i tell my mother 
 the men outside ar e starving 
 she tells me 
 i must not dress with my breasts hanging 
 said the boys will get hungry if they see fruit 
 says i should sit with my legs closed 
 like a woman oughta 
 or the men will get angry and fight 
 said i can avoid all this trouble 
 if i just learn to act like a lady 
 but the problem is 
 that doesn’ t even make sense 
 i can’ t wrap my head around the fact 
 that i have to convince half the world’ s population 
 my body is not their bed 
 i am busy learning the consequences of womanhood 
 when i should be learning science and math instead 
 i like cartwheels and gymnastics so i can’ t imagine 
 walking around with my thighs pressed together 
 like they’re hiding a secret 
 as if the acceptance of my own body parts 
 will invite thoughts of lust in their heads 
 i will not subject myself to their ideology 
 cause slut shaming is rape culture 
 vir gin praising is rape culture 
 i am not a mannequin in the window 
 of your favorite shop 
 you can’ t dress me up or 
 throw me out when i am worn 
 you are not a cannibal 
 your actions are not my responsibility 
 you will control yourself 
 the next time i go to school 
 and the boys hoot at my backside 
 i push them down",,Canadian,21st-century,Female
Rupi Kaur,"what love looks like 
 what does love look like the therapist asks 
 one week after the breakup 
 and i’m not sure how to answer her question 
 except for the fact that i thought love 
 looked so much like you 
 that’ s when it hit me 
 and i realized how naive i had been 
 to place an idea so beautiful on the image of a person 
 as if anybody on this entire earth 
 could encompass all love represented 
 as if this emotion seven billion people tremble for 
 would look like a five foot eleven 
 medium-sized brown-skinned guy 
 who likes eating frozen pizza for breakfast 
 what does love look like the therapist asks again 
 this time interrupting my thoughts midsentence 
 and at this point i’m about to get up 
 and walk right out the door 
 except i paid far too much money for this hour 
 so instead i take a piercing look at her 
 the way you look at someone 
 when you’re about to hand it to them 
 lips pursed tightly preparing to launch into conversation 
 eyes digging deeply into theirs 
 searching for all the weak spots 
 they have hidden somewhere 
 hair being tucked behind the ears 
 as if you have to physically prepare for a conversation 
 on the philosophies or rather disappointments",,Canadian,21st-century,Female
Rupi Kaur,"my stomach is backed up—i’ve been vomiting since 
 call the electrician 
 my eyes won’ t light up 
 call the cleaners to wash me up and hang me to dry 
 when you broke into my home 
 it never felt like mine again 
 i can’ t even let a lover in without getting sick 
 i lose sleep after the first date 
 lose my appetite 
 become more bone and less skin 
 for get to breathe 
 every night my bedroom becomes a psych ward 
 where panic attacks turn men 
 into doctors to keep me calm 
 every lover who touches me—feels like you 
 their fingers—you 
 mouths—you 
 until they’re not the ones 
 on top of me anymore—it’ s you 
 and i am so tired 
 of doing things your way 
 —it isn’ t working 
 i’ve spent years trying to figure out 
 how i could have stopped it 
 but the sun can’ t stop the storm from coming 
 the tree can’ t stop the ax 
 i can’ t blame myself for having a hole 
 the size of your manhood in my chest anymore 
 it’ s too heavy to carry your guilt—i’m setting it down 
 i’m tired of decorating this place with your shame 
 as if it belongs to me 
 it’ s too much to walk around with 
 what your hands have done 
 if it’ s not my hands that have done it",,Canadian,21st-century,Female
Rupi Kaur,"my girlhood was too much hair 
 thin limbs coated in velvet 
 it was neighborhood tradition 
 for the other young girls and i 
 to frequent basement salons on a weekly basis 
 run by women in a house 
 who were my mother ’ s age 
 had my mother ’ s skin 
 but looked nothing like my simple mother 
 they had brown skin with 
 yellow hair meant for white skin 
 streaks like zebras 
 slits for eyebrows 
 i looked at my own caterpillars with shame 
 and dreamt mine would be that thin 
 i sit timidly in the makeshift waiting area 
 hoping a friend from school would not drop by 
 a bollywood music video is playing on a tiny 
 television screen in the corner 
 someone is getting their legs waxed or hair dyed 
 when the auntie calls me in 
 i walk into the room 
 and make small talk 
 she leaves for a moment 
 while i undress my lower half 
 i slide my pants and underwear of f 
 lie down on the spa bed and wait 
 when she returns she positions my legs 
 like an open butterfly 
 soles of feet together 
 knees pointing in opposite directions 
 first the disinfectant wipe 
 then the cold jelly 
 how is school and what ar e you studying she asks",,Canadian,21st-century,Female
Rupi Kaur,"br oken english 
 i think about the way my father 
 pulled the family out of poverty 
 without knowing what a vowel was 
 and my mother raised four children 
 without being able to construct 
 a perfect sentence in english 
 a discombobulated couple 
 who landed in the new world with hopes 
 that left the bitter taste of rejection in their mouths 
 no family 
 no friends 
 just man and wife 
 two university degrees that meant nothing 
 one mother tongue that was broken now 
 one swollen belly with a baby inside 
 a father worrying about jobs and rent 
 cause no matter what this baby was coming 
 and they thought to themselves for a split second 
 was it worth it to put all of our money 
 into the dr eam of a country 
 that is swallowing us whole 
 papa looks at his woman’ s eyes 
 and sees loneliness living where the iris was 
 wants to give her a home in a country that looks at her 
 with the word visitor wrapped around its tongue 
 on their wedding day 
 she left an entire village to be his wife 
 now she left an entire country to be a warrior 
 and when the winter came 
 they had nothing but the heat of their own bodies",,Canadian,21st-century,Female
Rupi Kaur,"advice i would’ve given 
 my mother on her wedding day 
 1 . you are allowed to say no  
  
 2 . years ago his father beat the language of love 
 out of your husband’ s back 
 he will never know how to say it 
 but his actions prove he loves you 
  
 3 . go with him 
 when he enters your body and goes to that place 
 sex is not dirty 
  
 4 . no matter how many times his family brings it up 
 do not have the abortion just because i’m a girl 
 lock the relatives out and swallow the key 
 he will not hate you 
  
 5 . take your journals and paintings 
 across the ocean when you leave 
 these will remind you who you are 
 when you get lost amid new cities 
 they will also remind your children 
 you had an entire life before them 
  
 6 . when your husbands are of f 
 working at the factories 
 make friends with all the other 
 lonely women in the apartment complex 
 this loneliness will cut a person in half 
 you will need each other to stay alive 
 7 . your husband and children will take from your plate 
 we will emotionally and mentally starve you 
 all of it is wrong 
 don’ t let us convince you that",,Canadian,21st-century,Female
Rupi Kaur,"1790 
 he takes the newborn girl from his wife 
 carries her to the neighboring room 
 cradles her head with his left hand 
 and gently snaps her neck with his right 
 1890 
 a wet towel to wrap her in 
 grains of rice and 
 sand in the nose 
 a mother shares the trick with her daughter -in-law 
 i had to do it she says 
 as did my mother 
 and her mother befor e her 
 1990 
 a newspaper article reads 
 a hundr ed baby girls wer e found buried 
 behind a doctor ’ s house in a neighboring village 
 the wife wonders if that’ s where he took her 
 she imagines her daughter becoming the soil 
 fertilizing the roots that feed this country 
 1998 
 oceans away in a toronto basement 
 a doctor performs an illegal abortion 
 on an indian woman who already has a daughter 
 one is bur den enough she says 
 2006 
 it’ s easier than you think my aunties tell my mother 
 they know a family 
 who’ve done it three times 
 they know a clinic. they could get mumma the number . 
 the doctor even prescribes pills that guarantee a boy . 
 they worked for the woman down the str eet they say",,Canadian,21st-century,Female
Rupi Kaur,"of lights and life—you took a left 
 to the road that led nowhere 
 i asked where we were going 
 you asked if i was afraid 
 my voice threw itself over the edge of my throat 
 landed at the bottom of my belly and hid for months 
 all the dif ferent parts in me 
 turned the lights of f 
 shut the blinds 
 locked the doors 
 while i hid at the back of some 
 upstairs closet of my mind as 
 someone broke the windows—you 
 kicked the front door in—you 
 took everything 
 and then someone took me 
 —it was you. 
 who dove into me with a fork and a knife 
 eyes glinting with starvation 
 like you hadn’ t eaten in weeks 
 i was a hundred and ten pounds of fresh meat 
 you skinned and gutted with your fingers 
 like you were scraping the inside of a cantaloupe clean 
 as i screamed for my mother 
 you nailed my wrists to the ground 
 turned my breasts into bruised fruit 
 this home is empty now 
 no gas 
 no electricity 
 no running water 
 the food is rotten 
 from head to foot i am layered in dust 
 fruit flies. webs. bugs. 
 someone call the plumber",,Canadian,21st-century,Female
Rupi Kaur,"home 
 it began as a typical thursday from what i recall 
 sunlight kissed my eyelids good morning 
 i remember it exactly 
 climbing out of bed 
 making cof fee to the sound of children playing outside 
 putting music on 
 loading the dishwasher 
 i remember placing flowers in a vase 
 in the middle of the kitchen table 
 only when my apartment was spotless 
 did i step into the bathtub 
 wash yesterday out of my hair 
 i decorated myself 
 like the walls of my home were decorated 
 with frames bookshelves photos 
 i hung a necklace around my neck 
 hooked earrings in 
 applied lipstick like paint 
 swept my hair back—just your typical thursday 
 we ended up at a get-together with friends 
 at the end you asked if i needed a ride home and 
 i said yes cause our dads worked at the same company 
 and you’d been to my place for dinner many times 
 but i should have known 
 when you began to confuse 
 kind conversation with flirtation 
 when you told me to let my hair down 
 when instead of driving me home 
 toward the bright intersection",,Canadian,21st-century,Female
Rupi Kaur,"for years they were separated by oceans 
 left with nothing but little photographs of each other 
 smaller than passport-size photos 
 hers was tucked into a golden locket 
 his slipped inside his wallet 
 at the end of the day 
 when their worlds went quiet 
 studying them was their only intimacy 
 this was a time long before computers 
 when families in that part of the world 
 had not seen a telephone or laid their 
 almond eyes on a colored television screen 
 long before you and i 
 as the wheels of the plane touched tarmac 
 she wondered if this was the place 
 had she boarded the right flight 
 should’ve asked the air hostess twice 
 like her husband suggested 
 walking into baggage claim 
 her heart beat so heavy 
 she thought it might fall out 
 eyes darting in every direction 
 searching for what to do next when 
 suddenly 
 right there 
 in the flesh 
 he stood 
 not a mirage—a man 
 first came relief 
 then bewilderment 
 they’d imagined this reunion for years 
 had rehearsed their lines 
 but her mouth seemed to for get",,Canadian,21st-century,Female
Rupi Kaur,"of what love looks like 
 well i tell her 
 i don’ t think love is him anymor e 
 if love was him 
 he would be here wouldn’ t he 
 if he was the one for me 
 wouldn’ t he be the one sitting across from me 
 if love was him it would have been simple 
 i don’ t think love is him anymor e i repeat 
 i think love never was 
 i think i just wanted something 
 was ready to give myself to something 
 i believed was bigger than myself 
 and when i saw someone 
 who could probably fit the part 
 i made it very much my intention 
 to make him my counterpart 
 and i lost myself to him 
 he took and he took 
 wrapped me in the word special 
 until i was so convinced he had eyes only to see me 
 hands only to feel me 
 a body only to be with me 
 oh how he emptied me 
 how does that make you feel 
 interrupts the therapist 
 well i said 
 it kind of makes me feel like shit 
 maybe we’re all looking at it wrong 
 we think it’ s something to search for out there 
 something meant to crash into us 
 on our way out of an elevator",,Canadian,21st-century,Female
Rupi Kaur,"sacrificing yourself is 
 how you must show love 
  
 8 . when your mother dies 
 fly back for the funeral 
 money comes and goes 
 a mother is once in a lifetime 
  
 9 . you are allowed to spend 
 a couple dollars on a cof fee 
 i know there was a time when 
 we could not af ford it 
 but we are okay now . breathe. 
  
 10 . you can’ t speak english fluently 
 or operate a computer or cell phone 
 we did that to you. it is not your fault. 
 you are not any less than the 
 other mothers with their 
 flashy phones and designer clothing 
 we confined you to the four walls of this home 
 and worked you to the bone 
 you have not been your own property for decades 
  
 1 1 . there was no rule book for how 
 to be the first woman in your lineage 
 to raise a family on a strange land by yourself 
  
 12 . you are the person i look up to most 
  
 13 . when i am about to shatter 
 i think of your strength 
 and harden 
  
 14 . i think you are a magician 
  
 15 . i want to fill the rest of your life with ease",,Canadian,21st-century,Female
